Country,GDP
United States,20544343.46
People's Republic of China,13608151.86
Japan,4971323.08
Germany,3947620.163
United Kingdom,2855296.732
France,2777535.2389999996
India,2718732.231
Italy,2083864.26
Brazil,1868626.0880000002
Canada,1713341.705
Russia,1657554.6469999999
Republic of Korea,1619423.701
Australia,1433904.3490000002
Spain,1419041.95
Mexico,1220699.48
Indonesia,1042173.301
Netherlands,913658.4657
Turkey,771350.3305
Switzerland,705140.3542
"Taipei,China",608186.0
Poland,585663.8148
Sweden,556086.4889
Belgium,542761.0921
Thailand,504992.7577
Austria,455285.81799999997
Norway,434166.6154
Ireland,382487.4905
Singapore,364156.6578
"Hong Kong, China",362682.0182
Malaysia,358581.9434
Denmark,355675.3291
Philippines,330910.3436
Pakistan,314588.2105
Finland,276743.1205
Bangladesh,274024.959
Czech Republic,245225.8829
Viet Nam,245213.6864
Portugal,240674.5245
Romania,239552.5167
Greece,218031.8446
Kazakhstan,179339.9949
Hungary,157882.9128
Slovak Republic,105904.6322
Sri Lanka,88900.77086
Luxembourg,70885.32587999999
Bulgaria,65132.951120000005
Croatia,60971.69932000001
Slovenia,54007.97211
Lithuania,53429.06643
Latvia,34409.22918
Estonia,30732.14453
Nepal,29040.39898
Cyprus,24961.98866
Cambodia,24542.47406
Lao People's Democratic Republic,17953.78642
Malta,14553.42293
Brunei Darussalam,13567.351180000001
Mongolia,13066.74914
Kyrgyz Republic,8092.836609
Fiji,5536.759659
Maldives,5327.45715
Bhutan,2534.965163
