Economy,Sector,GDP,Employment
Australia,"Agriculture, Mining and Quarrying",-0.59,-5.13
Australia,"Business, Trade, Personal, and Public Services",-3.55,-5.87
Australia,Hotel and restaurants and Other Personal Services,-0.75,-15.38
Australia,"Light/Heavy Manufacturing, Utilities, and Construction",-1.01,-5.94
Australia,Transport services,-0.64,-15.29
Australia,_All,-6.54,-7.39
Austria,"Agriculture, Mining and Quarrying",-0.08,-4.89
Austria,"Business, Trade, Personal, and Public Services",-3,-5.48
Austria,Hotel and restaurants and Other Personal Services,-1.24,-11.26
Austria,"Light/Heavy Manufacturing, Utilities, and Construction",-1.3,-4.72
Austria,Transport services,-0.86,-18.08
Austria,_All,-6.48,-6.6
Belgium,"Agriculture, Mining and Quarrying",-0.04,-4.85
Belgium,"Business, Trade, Personal, and Public Services",-3.56,-5.5
Belgium,Hotel and restaurants and Other Personal Services,-0.49,-7.38
Belgium,"Light/Heavy Manufacturing, Utilities, and Construction",-1.17,-5.25
Belgium,Transport services,-0.4,-8.74
Belgium,_All,-5.65,-5.76
Bulgaria,"Agriculture, Mining and Quarrying",-0.36,-4.96
Bulgaria,"Business, Trade, Personal, and Public Services",-3.49,-6.25
Bulgaria,Hotel and restaurants and Other Personal Services,-0.8,-11.73
Bulgaria,"Light/Heavy Manufacturing, Utilities, and Construction",-1.35,-5.46
Bulgaria,Transport services,-1.75,-28.74
Bulgaria,_All,-7.75,-7.29
Brazil,"Agriculture, Mining and Quarrying",-0.43,-5.28
Brazil,"Business, Trade, Personal, and Public Services",-3.81,-6.31
Brazil,Hotel and restaurants and Other Personal Services,-0.51,-6.49
Brazil,"Light/Heavy Manufacturing, Utilities, and Construction",-1.14,-6.14
Brazil,Transport services,-0.29,-6.16
Brazil,_All,-6.18,-6.18
Canada,"Agriculture, Mining and Quarrying",-0.62,-5.63
Canada,"Business, Trade, Personal, and Public Services",-3.47,-5.87
Canada,Hotel and restaurants and Other Personal Services,-0.54,-10.76
Canada,"Light/Heavy Manufacturing, Utilities, and Construction",-1.25,-5.72
Canada,Transport services,-0.25,-6.6
Canada,_All,-6.12,-6.72
Switzerland,"Agriculture, Mining and Quarrying",-0.05,-5.65
Switzerland,"Business, Trade, Personal, and Public Services",-3.4,-5.25
Switzerland,Hotel and restaurants and Other Personal Services,-0.55,-13.92
Switzerland,"Light/Heavy Manufacturing, Utilities, and Construction",-1.36,-5.19
Switzerland,Transport services,-0.45,-11.81
Switzerland,_All,-5.8,-5.85
People's Republic of China,"Agriculture, Mining and Quarrying",-0.68,-4.82
People's Republic of China,"Business, Trade, Personal, and Public Services",-2.03,-4.8
People's Republic of China,Hotel and restaurants and Other Personal Services,-0.3,-6.25
People's Republic of China,"Light/Heavy Manufacturing, Utilities, and Construction",-1.78,-5.07
People's Republic of China,Transport services,-0.3,-6.53
People's Republic of China,_All,-5.08,-5.25
Cyprus,"Agriculture, Mining and Quarrying",-0.13,-5.2
Cyprus,"Business, Trade, Personal, and Public Services",-5.23,-8.7
Cyprus,Hotel and restaurants and Other Personal Services,-2.26,-14.3
Cyprus,"Light/Heavy Manufacturing, Utilities, and Construction",-0.87,-6.41
Cyprus,Transport services,-2.44,-61.52
Cyprus,_All,-10.94,-12.37
Czech Republic,"Agriculture, Mining and Quarrying",-0.19,-5.71
Czech Republic,"Business, Trade, Personal, and Public Services",-2.86,-5.63
Czech Republic,Hotel and restaurants and Other Personal Services,-0.52,-9.63
Czech Republic,"Light/Heavy Manufacturing, Utilities, and Construction",-1.87,-5.22
Czech Republic,Transport services,-0.78,-15.25
Czech Republic,_All,-6.22,-6.35
Germany,"Agriculture, Mining and Quarrying",-0.05,-5.08
Germany,"Business, Trade, Personal, and Public Services",-3.16,-5.52
Germany,Hotel and restaurants and Other Personal Services,-0.54,-8.71
Germany,"Light/Heavy Manufacturing, Utilities, and Construction",-1.62,-5.23
Germany,Transport services,-0.3,-7.05
Germany,_All,-5.67,-5.86
Denmark,"Agriculture, Mining and Quarrying",-0.2,-4.67
Denmark,"Business, Trade, Personal, and Public Services",-3.41,-5.47
Denmark,Hotel and restaurants and Other Personal Services,-0.4,-5.73
Denmark,"Light/Heavy Manufacturing, Utilities, and Construction",-1.07,-5.16
Denmark,Transport services,-0.32,-5.72
Denmark,_All,-5.4,-5.43
Spain,"Agriculture, Mining and Quarrying",-0.16,-5.9
Spain,"Business, Trade, Personal, and Public Services",-3.37,-5.82
Spain,Hotel and restaurants and Other Personal Services,-1.39,-12.42
Spain,"Light/Heavy Manufacturing, Utilities, and Construction",-1.37,-5.63
Spain,Transport services,-0.88,-19.03
Spain,_All,-7.17,-7.63
Estonia,"Agriculture, Mining and Quarrying",-0.19,-4.96
Estonia,"Business, Trade, Personal, and Public Services",-3.13,-5.73
Estonia,Hotel and restaurants and Other Personal Services,-0.75,-9.28
Estonia,"Light/Heavy Manufacturing, Utilities, and Construction",-1.41,-5.07
Estonia,Transport services,-0.84,-11.41
Estonia,_All,-6.32,-6.44
Finland,"Agriculture, Mining and Quarrying",-0.18,-5.46
Finland,"Business, Trade, Personal, and Public Services",-3.48,-5.96
Finland,Hotel and restaurants and Other Personal Services,-0.33,-6.91
Finland,"Light/Heavy Manufacturing, Utilities, and Construction",-1.59,-5.49
Finland,Transport services,-0.64,-12.18
Finland,_All,-6.21,-6.27
France,"Agriculture, Mining and Quarrying",-0.08,-4.31
France,"Business, Trade, Personal, and Public Services",-3.87,-5.73
France,Hotel and restaurants and Other Personal Services,-0.45,-7.1
France,"Light/Heavy Manufacturing, Utilities, and Construction",-1.05,-5.36
France,Transport services,-0.56,-13.64
France,_All,-6.01,-6.14
United Kingdom,"Agriculture, Mining and Quarrying",-0.1,-5.47
